ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.9235,0.2418,0.3567,0.3336,-0.1029,0.3003,0.0,43.072,17,2022-11-07 15:49:58:636
9.9235,0.2418,0.3567,0.3336,-0.1029,0.3003,0.0,43.072,28,2022-11-07 15:49:58:647
9.7512,0.3256,0.3352,0.394,-0.1181,0.3077,0.0,43.072,37,2022-11-07 15:49:58:656
9.2987,0.5866,0.17,0.4673,-0.156,0.3327,0.0,43.072,47,2022-11-07 15:49:58:666
9.2987,0.5866,0.17,0.482,-0.1908,0.3571,0.0,43.072,57,2022-11-07 15:49:58:676
9.1622,0.7087,-0.2514,0.4435,-0.3289,0.417,0.0,43.072,66,2022-11-07 15:49:58:685
9.0234,0.8355,-0.7805,0.358,-0.4755,0.4775,0.0,43.072,77,2022-11-07 15:49:58:696
8.906,0.8834,-1.1468,0.2254,-0.6465,0.5557,0.0,43.072,87,2022-11-07 15:49:58:706
8.8414,0.8475,-1.2234,0.0715,-0.8151,0.6424,0.0,43.072,97,2022-11-07 15:49:58:716
8.7073,0.6703,-0.7158,-0.1093,-0.9538,0.7829,0.0,43.072,107,2022-11-07 15:49:58:726
8.7073,0.6703,-0.7158,-0.1881,-0.9575,0.9314,0.0,43.072,117,2022-11-07 15:49:58:736
8.5038,0.2825,0.2945,-0.1881,-0.9575,0.9314,0.0,43.072,127,2022-11-07 15:49:58:746
8.6259,-0.0503,1.4053,-0.0366,-0.6697,1.2545,0.0,43.072,137,2022-11-07 15:49:58:756
8.049,-0.8212,2.2145,-0.0366,-0.6697,1.2545,0.0,43.072,146,2022-11-07 15:49:58:765
8.049,-0.8212,2.2145,0.1546,-0.3918,1.4536,0.0,43.072,157,2022-11-07 15:49:58:776
7.3906,-1.8004,2.2792,0.3947,-0.0418,1.7743,0.0,43.072,168,2022-11-07 15:49:58:787
7.2398,-1.9105,2.2505,0.5657,0.1268,1.9839,0.0,43.072,177,2022-11-07 15:49:58:796
8.104,-0.9337,1.8985,0.997,0.1409,2.4933,0.0,43.072,187,2022-11-07 15:49:58:806
10.4718,-0.0718,0.9193,1.4008,-0.214,2.9851,0.0,43.072,197,2022-11-07 15:49:58:816
10.4718,-0.0718,0.9193,1.6231,-0.6691,3.271,0.0,43.072,207,2022-11-07 15:49:58:826
13.8092,-1.142,-3.1842,1.6231,-0.6691,3.271,0.0,43.072,218,2022-11-07 15:49:58:837
16.8185,-2.4324,-8.365,1.1686,-1.5457,3.0724,0.0,43.072,227,2022-11-07 15:49:58:846
19.6867,-6.1552,-9.9834,-0.8778,-2.3319,1.563,0.0,42.044,237,2022-11-07 15:49:58:856
19.6867,-6.1552,-9.9834,-1.9938,-1.7363,0.7487,0.0,42.044,247,2022-11-07 15:49:58:866
12.2506,-7.9005,-1.9871,-2.2834,-1.0295,0.6522,0.0,42.044,256,2022-11-07 15:49:58:875
9.1742,-6.9213,0.0192,-1.9847,0.3932,1.1378,0.0,42.044,267,2022-11-07 15:49:58:886
8.5852,-6.3683,-0.2777,-1.6188,1.3235,1.5599,0.0,42.044,277,2022-11-07 15:49:58:896
8.9659,-5.8416,-1.5155,-1.3017,2.1775,1.8318,0.0,42.044,286,2022-11-07 15:49:58:905
8.9659,-5.8416,-1.5155,-1.0751,2.9112,1.8458,0.0,42.044,297,2022-11-07 15:49:58:916
9.7512,-5.4921,-1.853,-0.9321,3.2856,1.654,0.0,42.044,307,2022-11-07 15:49:58:926
10.2587,-5.7626,-1.6807,-0.7037,3.5532,1.2893,0.0,42.044,318,2022-11-07 15:49:58:937
